param,feature,rho,p,n
W,ac1,-0.75,0.01994212613199253,9
sltp,er,0.5666666666666667,0.1116329876114912,9
ntp,ncross,0.5499999999999999,0.12497678418833195,9
tpd,er,0.5166666666666667,0.15439012098622507,9
stop,ac1,-0.48333333333333334,0.18746985521554216,9
stop,er,0.43333333333333335,0.24395243588005172,9
sltp,ncross,-0.43333333333333335,0.24395243588005172,9
sltp,ac1,-0.41666666666666663,0.26458604674749636,9
tpd,ncross,-0.38333333333333336,0.3084952723803716,9
W,drift,0.3666666666666667,0.3317398014330152,9
W,ret,0.3666666666666667,0.3317398014330152,9
ntp,dispersion,-0.33333333333333337,0.38071318167686347,9
ntp,rvol,-0.33333333333333337,0.38071318167686347,9
stop,ncross,-0.31666666666666665,0.406397014486386,9
tpd,drift,-0.3,0.43284532670948234,9
tpd,ret,-0.3,0.43284532670948234,9
stop,atr_px,0.2833333333333333,0.46003032896572005,9
sltp,atr_px,0.26666666666666666,0.48792227483870076,9
stop,rvol,0.26666666666666666,0.48792227483870076,9
stop,dispersion,0.26666666666666666,0.48792227483870076,9
sltp,dispersion,0.25,0.5164895523012261,9
sltp,rvol,0.25,0.5164895523012261,9
W,er,0.2333333333333333,0.5456987782182728,9
ntp,atr_px,-0.2333333333333333,0.5456987782182728,9
W,ncross,-0.18333333333333335,0.6368198117628943,9
tpd,ac1,0.15,0.7000942309691418,9
tpd,atr_px,0.15,0.7000942309691418,9
sltp,drift,-0.13333333333333333,0.7323675052362973,9
sltp,ret,-0.13333333333333333,0.7323675052362973,9
ntp,ac1,-0.11666666666666665,0.765007942926146,9
W,rvol,0.08333333333333334,0.831214097710308,9
W,dispersion,0.08333333333333334,0.831214097710308,9
stop,drift,0.08333333333333334,0.831214097710308,9
stop,ret,0.08333333333333334,0.831214097710308,9
tpd,rvol,0.06666666666666667,0.8646897846262036,9
tpd,dispersion,0.06666666666666667,0.8646897846262036,9
ntp,er,-0.03333333333333333,0.9321567355405039,9
ntp,ret,-0.03333333333333333,0.9321567355405039,9
ntp,drift,-0.03333333333333333,0.9321567355405039,9
W,atr_px,-0.016666666666666666,0.9660548039946862,9
